id_match,home_team,away_team,home_result,away_result,result,date,round,city,edition,is_final
1794,Thailand,Bangladesh,1,2,Bangladesh,,Preliminary round,Singapore,1986,False
1795,Thailand,India,2,0,Thailand,,Preliminary round,Tirane,1986,False
1796,Thailand,Indonesia,1,0,Thailand,,Preliminary round,Luanda,1986,False
1797,Trinidad and Tobago,Costa Rica,0,4,Costa Rica,,Preliminary round,Port-au-Prince,1986,False
1798,Trinidad and Tobago,United States,1,0,Trinidad and Tobago,,Preliminary round,Wien,1986,False
1799,Tunisia,Algeria,3,1,Tunisia,,Preliminary round,Bruxelles,1986,False
1800,Tunisia,Benin,0,2,Benin,,Preliminary round,Sydney,1986,False
1801,Tunisia,Guinea,0,2,Guinea,,Preliminary round,Cotonou,1986,False
1802,Tunisia,Nigeria,4,0,Tunisia,,Preliminary round,Sofija,1986,False
1803,Turkey,England,3,2,Turkey,,Preliminary round,Adelaide,1986,False
1804,Turkey,Finland,2,0,Turkey,,Preliminary round,Wien,1986,False
1805,Turkey,Northern Ireland,1,2,Northern Ireland,,Preliminary round,Levkosia,1986,False
1806,Turkey,Romania,1,2,Romania,,Preliminary round,Lemesos,1986,False
1807,Uganda,Zambia,5,1,Uganda,,Preliminary round,Linz,1986,False
1808,United Arab Emirates,Iraq,3,0,United Arab Emirates,,Preliminary round,København,1986,False
1809,United Arab Emirates,Saudi Arabia,1,0,United Arab Emirates,,Preliminary round,København,1986,False
1810,United States,Costa Rica,0,1,Costa Rica,,Preliminary round,Levkosia,1986,False
1811,United States,Dutch Antilles,1,3,Dutch Antilles,,Preliminary round,Wien,1986,False
1812,United States,Trinidad and Tobago,4,0,United States,,Preliminary round,Praha,1986,False
1813,Uruguay,Chile,0,0,draw,,Preliminary round,Willemstad,1986,False
1814,Uruguay,Ecuador,1,0,Uruguay,,Preliminary round,Cairo,1986,False
1815,Uruguay,FRG,3,1,Uruguay,,Preliminary round,Budapest,1986,False
1816,Venezuela,Argentina,5,0,Venezuela,,Preliminary round,San_Salvador,1986,False
1817,Venezuela,Colombia,5,0,Venezuela,,Preliminary round,London,1986,False
1818,Venezuela,Peru,3,3,draw,,Preliminary round,Addis Ababa,1986,False
1819,Wales,Iceland,0,1,Iceland,,Preliminary round,Riyadh,1986,False
1820,Wales,Scotland,2,0,Wales,,Preliminary round,Koln,1986,False
1821,Wales,Spain,1,0,Wales,,Preliminary round,Pori,1986,False
1822,Yugoslavia,Bulgaria,3,2,Yugoslavia,,Preliminary round,Bruxelles,1986,False
1823,Yugoslavia,France,1,0,Yugoslavia,,Preliminary round,Paris,1986,False
1824,Yugoslavia,GDR,2,0,Yugoslavia,,Preliminary round,Paris,1986,False
1825,Yugoslavia,Luxembourg,2,3,Luxembourg,,Preliminary round,Leipzig,1986,False
